Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,NORM_Abundance R1 127C Sample,NORM_Abundance R2 127C Sample,NORM_Abundance R3 127C Sample,NORM_Abundance R1 127N Sample,NORM_Abundance R2 127N Sample,NORM_Abundance R3 127N Sample,NORM_Abundance R1 128C Sample,NORM_Abundance R2 128C Sample,NORM_Abundance R3 128C Sample,NORM_Abundance R1 128N Sample,NORM_Abundance R2 128N Sample,NORM_Abundance R3 128N Sample,NORM_Abundance R1 129C Sample,NORM_Abundance R2 129C Sample,NORM_Abundance R3 129C Sample,NORM_Abundance R1 129N Sample,NORM_Abundance R2 129N Sample,NORM_Abundance R3 129N Sample,NORM_Abundance R1 130C Sample,NORM_Abundance R2 130C Sample,NORM_Abundance R3 130C Sample,NORM_Abundance R1 130N Sample,NORM_Abundance R2 130N Sample,NORM_Abundance R3 130N Sample,NORM_Abundance R1 126 control,NORM_Abundance R2 126 control,NORM_Abundance R3 126 control
NP_002991.2,2170.8,1604.1,1089.5,2012.2,1624.9,1041.4,1264.3,1179.2,858.0,2309.3,1688.3,987.6,1825.3,1810.8,1161.6,2089.0,1533.4,793.8,1674.6,1498.8,1109.3,2210.4,1752.6,1070.4,1495.2,1790.0,1560.8,1961.1148148148143,1070.8185185185184,1602.948148148148,1994.0740740740744,953.0999999999998,1415.0814814814814,1905.8333333333337,992.9333333333334,1641.47037037037,2216.162962962963,890.5,1417.0740740740741,2064.9407407407402,1126.0074074074075,1646.9000000000003,2032.6185185185184,743.4518518518519,1232.1518518518517,2272.959259259259,1830.362962962963,2425.003703703704,2612.0777777777776,1136.6407407407407,1788.2814814814813,2062.9074074074074,1352.7481481481477,968.8444444444444
NP_001598.1,186.9,372.7,14.7,196.5,344.8,9.3,191.3,304.7,4.1,188.1,377.0,7.3,269.2,402.6,20.2,210.3,473.0,6.4,195.0,350.7,10.3,188.9,359.4,11.9,212.7,345.2,16.3,277.11481481481474,27.99629629629629,363.9592592592592,195.06666666666666,27.99629629629629,270.77777777777777,268.05555555555554,35.94814814814815,320.6592592592593,186.63333333333335,27.096296296296302,274.7518518518519,235.47407407407403,29.92592592592592,341.4740740740741,213.9888888888889,27.096296296296302,350.5962962962963,318.6518518518519,42.84444444444444,444.0777777777778,222.937037037037,32.12592592592593,328.5629629629629,176.08148148148146,277.9925925925926,32.12592592592593
NP_002614.2,0.0,969.5,766.7,0.0,913.9,770.6,0.0,696.8,521.8,0.0,884.8,761.2,0.0,887.5,635.8,0.0,928.3,709.1,0.0,764.5,657.6,0.0,792.2,629.9,0.0,726.8,507.4,0.0,680.5592592592592,915.0259259259261,0.0,717.725925925926,758.4000000000002,0.0,580.9777777777779,760.5,0.0,711.8185185185184,715.8296296296298,0.0,711.8185185185184,818.6555555555555,0.0,660.0259259259258,717.725925925926,0.0,644.5185185185187,991.2851851851854,0.0,698.4074074074074,773.3407407407408,0.0,772.3,698.4074074074074
XP_006719826.1,0.0,122.9,824.0,0.0,120.2,808.4,0.0,109.7,761.3,0.0,126.4,831.7,0.0,144.1,1084.9,0.0,147.3,852.4,0.0,110.2,832.6,0.0,101.7,640.4,0.0,95.6,757.6,0.0,945.5333333333333,99.23333333333332,0.0,752.851851851852,75.24444444444445,0.0,936.5148148148147,89.37777777777777,0.0,778.0444444444445,79.44074074074075,0.0,865.1037037037038,82.95185185185184,0.0,796.2333333333335,92.12592592592591,0.0,938.0666666666666,94.43703703703703,0.0,710.2851851851849,72.91851851851851,0.0,73.36296296296297,743.4518518518519
NP_001231509.1,292.7,73.7,0.0,279.5,63.8,0.0,212.2,96.1,0.0,298.1,72.9,0.0,354.9,129.8,0.0,319.2,93.0,0.0,257.3,82.7,0.0,246.9,78.7,0.0,166.7,82.1,0.0,302.8814814814814,0.0,83.53333333333333,277.9925925925926,0.0,28.670370370370367,340.48148148148147,0.0,78.88148148148149,276.43703703703704,0.0,34.044444444444444,301.0222222222222,0.0,54.24444444444444,310.29999999999995,0.0,49.94814814814816,250.84074074074076,0.0,76.32962962962962,281.4111111111111,0.0,49.55555555555556,278.64074074074074,34.68148148148149,0.0
NP_057131.1,532.4,118.7,494.5,480.0,106.1,452.9,282.0,93.5,356.2,467.0,101.6,357.7,374.4,113.2,450.7,473.7,69.4,249.3,303.0,107.5,403.2,311.8,76.8,274.4,225.3,84.3,322.4,394.1888888888889,464.56666666666666,79.8777777777778,451.83333333333326,439.6629629629629,63.41111111111112,360.20000000000005,424.8037037037038,62.54814814814816,427.08148148148143,353.92962962962963,55.41851851851851,343.5481481481482,446.35555555555544,80.42962962962964,451.83333333333326,260.8111111111111,31.674074074074067,338.3185185185186,422.074074074074,80.42962962962964,355.97407407407405,323.9481481481481,47.77407407407407,478.97037037037046,67.57037037037037,460.3148148148149
NP_001317398.1,793.1,985.8,618.7,757.1,1004.0,568.6,585.5,723.0,425.7,705.4,938.4,537.7,769.4,1013.0,547.9,687.0,885.9,495.0,849.6,1103.2,485.8,697.1,876.5,435.2,722.3,961.2,391.9,833.1999999999999,562.9666666666667,950.2666666666664,724.6370370370371,541.9037037037037,842.4111111111112,730.7592592592592,504.56666666666666,900.9444444444445,642.0962962962964,504.56666666666666,751.6037037037038,1003.5074074074074,536.7592592592594,1168.8444444444447,635.3518518518518,459.43333333333345,688.2074074074073,1075.5814814814814,496.94814814814805,1295.9740740740742,772.3,481.1444444444445,868.7925925925925,729.8518518518518,789.1888888888889,570.0074074074074
XP_011523281.1,885.4,1865.5,319.7,862.4,2095.7,308.3,701.0,904.7,313.6,859.6,1684.9,342.7,1086.5,1506.6,431.9,656.7,1925.7,403.4,980.6,1273.6,363.6,1035.3,1645.3,351.4,929.0,1182.2,378.5,999.4444444444445,413.32962962962955,1213.7666666666662,834.6629629629628,307.8185185185186,1788.2814814814813,1072.0777777777776,402.8555555555556,1374.759259259259,801.1592592592592,339.71111111111117,1415.0814814814814,1158.0962962962963,414.02592592592595,1403.737037037037,610.9888888888888,399.08518518518514,1556.5185185185185,1395.0851851851853,484.8037037037037,1633.814814814815,1194.262962962963,411.5962962962964,1690.9,828.9,1541.5111111111112,310.8703703703703
NP_001274271.1,1181.6,5579.7,2229.0,931.8,4397.0,1689.6,360.7,1253.6,489.7,918.9,4393.4,1702.8,665.7,2701.9,1108.9,622.6,2689.6,1082.4,528.8,2117.4,882.1,484.8,1931.6,707.3,310.0,1052.7,437.7,503.56296296296307,638.0333333333334,1704.6037037037036,902.6185185185184,1410.877777777778,3554.344444444446,638.0333333333334,954.1962962962964,2363.233333333333,851.4814814814816,1415.0814814814814,3420.3481481481485,622.3703703703702,925.422222222222,2284.3703703703704,588.2037037037037,964.8333333333336,2183.3888888888887,462.01111111111106,559.6074074074074,1427.240740740741,539.0407407407406,782.9666666666669,1954.0185185185182,1080.685185185185,4310.2148148148135,1850.0962962962963
NP_060853.3,118.4,592.9,559.7,104.9,512.3,515.9,64.5,336.5,379.4,121.4,572.9,596.5,87.3,521.2,529.3,103.8,545.0,554.7,60.7,376.4,446.7,76.1,438.7,492.5,49.4,312.2,361.8,95.56666666666668,501.811111111111,404.67037037037034,110.84444444444445,488.90370370370374,408.0259259259259,91.74444444444443,478.97037037037046,437.4222222222223,124.18148148148148,565.4592592592594,453.6777777777778,79.44074074074075,489.8518518518518,375.6370370370371,107.89629629629631,530.0851851851852,409.1,79.8777777777778,473.5555555555555,408.0259259259259,97.44444444444441,539.0407407407406,417.762962962963,118.70000000000002,457.6185185185185,522.1296296296297
XP_016880525.1,567.7,141.1,0.0,450.8,122.7,0.0,198.5,94.0,0.0,492.5,142.4,0.0,440.2,141.0,0.0,315.8,184.6,0.0,360.0,100.6,0.0,304.2,113.0,0.0,138.2,82.2,0.0,283.54074074074066,0.0,80.79629629629632,429.69999999999993,0.0,78.13703703703705,423.8296296296296,0.0,87.59629629629629,454.26666666666665,0.0,90.72222222222224,421.1962962962963,0.0,70.76666666666667,306.22592592592594,0.0,118.70000000000002,210.91851851851845,0.0,76.78148148148149,346.2259259259259,0.0,82.95185185185184,513.7259259259259,87.21111111111111,0.0
NP_005958.1,1273.6,867.1,0.0,1250.4,810.6,0.0,1020.4,499.5,0.0,1336.1,864.4,0.0,1423.8,756.2,0.0,1145.7,886.8,0.0,1081.8,622.6,0.0,1063.8,695.4,0.0,868.3,515.1,0.0,1559.7111111111114,0.0,635.3518518518518,1213.7666666666662,0.0,672.6888888888892,1447.422222222222,0.0,665.2629629629629,1225.037037037037,0.0,696.2185185185185,1290.037037037037,0.0,650.925925925926,1107.148148148148,0.0,689.2814814814816,1304.6851851851845,0.0,663.3222222222221,1237.6296296296296,0.0,684.7629629629629,1188.5037037037034,683.4037037037037,0.0
NP_001344607.1,1062.2,743.9,4025.9,1008.0,692.4,3972.5,775.7,579.0,2663.5,1026.9,748.5,3986.1,1066.4,721.1,3875.4,947.0,741.0,4035.1,1338.8,803.1,4343.1,1595.3,1021.9,5669.0,2075.7,1091.6,6008.4,1138.325925925926,3297.1703703703697,746.3296296296297,966.0888888888888,3388.0666666666666,571.0222222222224,1031.4629629629633,3250.2592592592596,623.2481481481481,947.4296296296297,3380.303703703703,589.3814814814816,1615.5666666666666,4364.751851851852,858.7777777777779,894.9296296296294,3349.603703703703,575.0444444444444,3312.0925925925926,6760.7037037037035,1494.2592592592594,1885.388888888889,5633.9740740740735,1032.9296296296293,979.8592592592594,592.8555555555557,3358.2000000000003
NP_001157940.1,1404.8,1391.2,0.0,1348.4,1353.5,0.0,897.0,782.9,0.0,1446.9,1304.2,0.0,1356.3,1287.9,0.0,1358.8,1581.3,0.0,1353.2,1205.5,0.0,1518.4,1602.9,0.0,1401.1,1320.0,0.0,1326.188888888889,0.0,1034.9333333333334,1306.4222222222224,0.0,1161.874074074074,1369.2333333333333,0.0,1174.8592592592593,1349.255555555555,0.0,1061.9074074074072,1641.47037037037,0.0,1311.811111111111,1314.2222222222224,0.0,1290.037037037037,2162.659259259259,0.0,1833.9518518518516,1801.840740740741,0.0,1638.8370370370367,1302.5,1145.9777777777779,0.0
NP_001135766.1,431.8,114.0,290.6,430.9,100.8,251.1,330.0,59.6,262.3,443.5,105.3,308.0,395.9,87.8,342.2,446.1,104.8,298.6,326.2,53.9,267.6,355.5,69.5,246.2,253.8,41.0,257.8,467.937037037037,353.1518518518519,39.86296296296296,410.7592592592592,257.0444444444444,59.22222222222223,377.28888888888883,321.2333333333333,39.34814814814814,403.68148148148146,310.29999999999995,58.5,375.6370370370371,306.22592592592594,24.69629629629629,420.1888888888889,299.32592592592596,57.96666666666666,376.34444444444443,345.5444444444444,21.31851851851852,403.68148148148146,294.6740740740741,39.86296296296296,397.3703703703704,63.85925925925927,277.11481481481474
