Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,NORM_Abundance R1 127C Sample,NORM_Abundance R2 127C Sample,NORM_Abundance R3 127C Sample,NORM_Abundance R1 127N Sample,NORM_Abundance R2 127N Sample,NORM_Abundance R3 127N Sample,NORM_Abundance R1 128C Sample,NORM_Abundance R2 128C Sample,NORM_Abundance R3 128C Sample,NORM_Abundance R1 128N Sample,NORM_Abundance R2 128N Sample,NORM_Abundance R3 128N Sample,NORM_Abundance R1 129C Sample,NORM_Abundance R2 129C Sample,NORM_Abundance R3 129C Sample,NORM_Abundance R1 129N Sample,NORM_Abundance R2 129N Sample,NORM_Abundance R3 129N Sample,NORM_Abundance R1 130C Sample,NORM_Abundance R2 130C Sample,NORM_Abundance R3 130C Sample,NORM_Abundance R1 130N Sample,NORM_Abundance R2 130N Sample,NORM_Abundance R3 130N Sample,NORM_Abundance R1 126 control,NORM_Abundance R2 126 control,NORM_Abundance R3 126 control
NP_001335116.1,4196.5,6241.6,2906.7,4112.5,5837.2,2627.7,2897.6,3608.0,2365.0,4140.9,5957.5,2815.2,4153.1,5250.9,3266.7,4679.6,6418.8,2645.8,3140.6,4014.8,2653.3,3155.8,4187.1,2210.1,2585.3,3092.0,2232.8,4911.799999999999,2925.348148148149,4953.385185185186,4180.799999999999,2246.244444444444,4741.196296296295,4675.148148148148,2786.840740740741,4661.214814814815,4005.974074074075,2394.618518518519,4594.27037037037,3951.337037037037,2616.266666666667,4320.081481481481,4785.774074074074,2239.5851851851858,4953.385185185186,4302.874074074074,2586.703703703704,4284.914814814815,3961.233333333334,2225.314814814814,4232.681481481482,4085.4407407407407,4675.148148148148,2441.8518518518517
NP_001484.1,3424.9,1511.4,1950.9,3088.5,1483.9,1808.1,1997.0,1200.1,1668.8,4038.8,1532.3,1757.0,3360.4,1658.4,2401.3,3419.3,1768.5,1773.0,3343.8,1559.3,2517.7,3633.8,1757.2,2023.5,2693.7,1684.8,2765.9,3172.0370370370365,2074.029629629629,1643.9370370370366,3167.0407407407406,1541.5111111111112,1287.737037037037,3568.062962962963,2037.7925925925929,1523.455555555555,3961.233333333334,1462.2148148148146,1287.737037037037,4251.137037037039,2510.4111111111115,1699.9370370370368,3469.2629629629632,1520.625925925926,1432.2333333333338,4544.803703703705,3206.1925925925925,2326.574074074074,4492.555555555555,2056.048148148148,1799.122222222222,3380.303703703703,1247.9777777777776,1602.948148148148
NP_006296.1,10827.0,13360.6,4650.3,10795.0,13391.9,4600.4,5604.3,7305.7,2996.1,11186.7,13648.4,4850.5,7821.4,10496.1,4021.1,5685.0,9094.9,3186.1,7114.2,8988.5,3900.7,6898.9,9230.7,3285.1,5371.1,6958.7,3084.8,9384.155555555555,3706.5333333333324,9831.225925925928,11312.0,3876.8925925925923,10497.796296296296,8981.303703703705,3429.688888888888,9282.651851851851,11312.0,4042.84074074074,10546.08888888889,9025.05185185185,3802.7185185185194,9435.633333333335,6118.425925925926,2700.3,7304.507407407406,8740.355555555556,3602.2851851851856,9435.633333333335,8677.47777777778,3282.3037037037043,9282.651851851851,10945.31111111111,10022.781481481481,3817.5000000000005
NP_653171.1,3340.3,1997.6,1541.0,3479.1,2021.6,1584.2,1592.1,1199.7,1044.9,3252.4,1809.9,1573.4,2305.3,1633.7,1332.5,2849.0,1767.6,1613.3,1893.1,1306.7,1122.6,1751.6,1248.0,1133.7,1220.5,1000.5,908.5,2460.185185185185,1271.5074074074075,1641.47037037037,3554.344444444446,1342.6962962962964,1704.6037037037036,2403.5703703703707,1138.325925925926,1496.3037037037036,3229.8888888888887,1338.107407407407,1515.148148148148,2335.307407407407,1136.6407407407407,1444.325925925926,2873.7888888888883,1393.1296296296296,1430.0703703703703,1833.9518518518516,1089.5037037037039,1361.8037037037038,2064.9407407407402,1194.262962962963,1269.1925925925925,3250.2592592592596,1633.814814814815,1281.8444444444447
NP_001410.2,4539.3,7147.9,7019.4,4386.3,6894.6,6688.1,2994.0,4577.9,4482.9,4376.4,6996.0,7290.3,4096.1,6462.8,6432.8,4132.0,6601.2,7007.8,3167.5,5135.8,5291.1,3331.3,5415.1,5609.9,2704.1,4323.3,4335.4,5167.214814814816,5541.785185185186,6136.559259259258,4449.129629629629,5541.785185185186,5541.785185185186,4580.048148148148,5366.0,5833.9518518518535,4292.607407407407,5850.407407407408,5351.625925925926,4005.974074074075,5286.077777777778,5456.548148148148,4140.477777777778,5633.9740740740735,5122.707407407406,4556.540740740741,5056.551851851852,5874.2037037037035,4140.477777777778,5541.785185185186,5420.877777777779,4492.555555555555,5440.533333333334,5595.396296296297
NP_008878.3,2582.9,4178.6,6699.8,2392.8,3694.0,6259.7,1172.5,1823.3,3647.8,2446.0,3991.0,6218.5,1989.6,3096.0,5606.7,2295.0,3654.5,5987.1,1636.4,2723.8,4946.5,1842.9,3047.2,5103.4,1073.0,1706.7,3975.4,1833.9518518518516,4594.27037037037,2472.6296296296296,2394.618518518519,5246.492592592594,3053.2,2045.3481481481479,4756.055555555557,2758.0851851851858,2359.6296296296296,5105.925925925925,3140.474074074074,1994.0740740740744,4981.851851851852,2885.985185185186,2258.5481481481484,4981.851851851852,2885.985185185186,1638.8370370370367,4594.27037037037,2351.107407407407,2169.7666666666664,5056.551851851852,3026.1666666666665,2506.3037037037043,3250.2592592592596,5387.585185185186
NP_001137533.1,632.3,1154.4,1897.7,562.8,1142.9,1767.7,585.3,1013.8,1856.8,596.6,1269.5,1893.0,826.3,1721.2,2975.2,637.8,1292.6,2163.2,696.8,1612.8,2730.8,621.0,1457.3,2405.8,613.1,1350.0,2606.8,832.1333333333333,2275.9111111111106,1408.1962962962964,533.6814814814816,1490.3592592592595,950.2666666666664,791.662962962963,2564.214814814815,1565.5259259259258,541.9037037037037,1615.5666666666666,1034.9333333333334,810.0629629629631,2670.077777777778,1769.1074074074074,598.948148148148,1863.0925925925926,1037.1962962962962,905.5444444444445,3000.714814814815,1872.262962962963,688.2074074074073,2445.5592592592593,1488.3999999999999,572.9074074074074,935.1481481481482,1550.4666666666667
NP_004517.2,1422.5,982.0,1249.2,1400.4,952.9,1137.8,884.4,689.4,807.0,1347.9,940.2,1109.7,1300.2,911.6,1165.1,1368.2,974.6,1292.6,891.4,652.2,797.8,1122.6,565.0,761.0,746.4,471.9,618.0,1309.0740740740741,1003.5074074074074,894.9296296296294,1346.6370370370375,1032.9296296296293,801.1592592592592,1309.0740740740741,996.1851851851851,782.9666666666669,1251.8407407407406,1006.1888888888889,755.6407407407409,1057.0222222222224,836.8518518518518,684.7629629629629,1334.4370370370375,1141.5222222222221,758.4000000000002,1121.8962962962964,782.9666666666669,605.7111111111111,1293.5925925925924,834.6629629629628,542.7888888888889,1326.188888888889,785.2925925925925,1079.025925925926
NP_001091674.1,2672.9,2580.2,902.1,2267.6,2520.3,811.1,1503.4,2004.3,652.8,2632.8,2494.1,750.1,2313.0,2789.3,917.9,2030.9,2451.9,934.0,1873.1,2271.7,685.4,1653.0,1882.4,560.6,1438.4,1880.7,570.2,2315.4481481481484,830.3814814814815,2761.3185185185175,2258.5481481481484,755.6407407407409,2122.103703703704,2410.274074074074,808.5333333333334,2445.5592592592593,2556.3296296296294,698.4074074074074,2010.696296296296,2312.392592592593,733.2814814814815,2441.8518518518517,1979.3925925925928,857.3592592592591,1994.0740740740744,2228.1629629629633,716.8481481481481,2524.5222222222224,1947.8,604.737037037037,1926.288888888888,2597.0407407407406,2108.8555555555554,798.8629629629629
NP_002810.1,6827.6,8671.9,3916.8,5827.4,7354.6,3588.1,2927.4,4067.0,2310.7,6142.0,8446.1,3931.5,5183.1,6451.7,3301.9,5687.0,8912.5,3979.9,3793.2,5151.1,2724.0,4071.3,5732.4,2952.8,2672.6,3354.8,2064.7,4992.562962962962,2837.474074074074,5518.155555555555,6136.559259259258,3075.181481481481,6009.59259259259,5874.2037037037035,2824.074074074075,5813.574074074075,6221.044444444446,3336.574074074075,6595.281481481482,4953.385185185186,2666.3222222222216,5496.5148148148155,6136.559259259258,3319.5148148148155,7090.255555555557,4506.688888888889,2363.233333333333,4605.774074074075,5234.462962962963,2983.3407407407412,5778.377777777779,6785.196296296297,6650.9740740740735,3229.8888888888887
NP_001191397.1,3203.9,593.0,1626.5,3103.7,527.9,1568.7,1644.4,357.2,1066.4,2901.0,542.7,1484.0,2550.8,458.1,1384.5,2944.9,584.5,1449.5,2064.4,384.9,1083.3,2071.5,410.3,983.9,1635.0,280.2,1006.9,2539.962962962963,1302.5,439.1592592592592,3206.1925925925925,1332.5888888888887,424.8037037037038,2670.077777777778,1180.3000000000002,373.08518518518514,2852.374074074074,1273.6296296296296,420.1888888888889,2602.2074074074076,1098.551851851852,389.5555555555555,3000.714814814815,1260.9518518518516,439.6629629629629,2564.214814814815,1196.137037037037,366.50740740740736,2456.485185185185,1057.0222222222224,387.07037037037037,3133.814814814815,458.5814814814816,1344.5629629629632
NP_001180298.1,1477.6,3233.7,1064.7,1427.6,2778.5,1136.2,1060.2,1801.0,1057.2,1531.7,3385.9,1153.5,1575.8,3110.9,1522.6,1536.9,3239.5,1211.2,1131.8,2108.0,1135.6,1243.8,2369.8,1070.0,865.4,1441.5,1066.0,1626.2074074074073,1285.7,2448.581481481482,1379.3222222222223,1030.0777777777778,2351.107407407407,1602.948148148148,1281.8444444444447,2777.9925925925927,1424.9814814814818,1031.4629629629633,2688.225925925926,1350.8037037037034,1148.4407407407407,2272.959259259259,1492.3814814814816,1075.5814814814814,2564.214814814815,1297.8666666666666,1267.3296296296296,1997.4333333333338,1482.6888888888889,1134.2111111111112,2387.1259259259264,1371.9777777777779,2606.0444444444443,940.8518518518518
NP_031398.2,609.6,240.3,2973.6,549.0,220.3,2997.1,443.5,191.6,2081.8,502.7,249.2,3037.5,568.6,219.4,2784.5,498.9,239.6,2880.7,510.6,178.9,2462.6,479.3,189.3,2386.4,444.8,165.8,2130.3,621.4888888888888,2591.962962962963,208.3444444444445,516.8555555555555,2576.4925925925927,155.45185185185184,546.7296296296297,2379.0333333333324,153.74074074074073,464.56666666666666,2591.962962962963,169.58518518518522,592.8555555555557,2452.62962962963,156.1851851851852,478.2296296296296,2413.5851851851858,159.71851851851855,662.0185185185184,2425.003703703704,190.14074074074074,533.0962962962963,2421.6,156.7851851851852,557.0851851851853,164.38148148148142,2497.9740740740735
NP_848927.2,2839.4,1851.3,1550.4,2701.7,1773.9,1448.6,1577.0,1135.8,1032.6,2675.6,1783.1,1398.3,2246.5,1505.5,1393.9,2873.8,1769.8,1299.2,2137.0,1417.9,1318.6,2405.0,1555.6,1276.7,2063.7,1256.1,1208.9,2437.6629629629633,1260.9518518518516,1571.0592592592593,2705.6666666666665,1241.6074074074072,1543.8037037037036,2339.051851851852,1188.5037037037034,1371.9777777777779,2597.0407407407406,1186.6481481481478,1490.3592592592595,2705.6666666666665,1318.2148148148149,1556.5185185185185,2907.6,1152.4,1436.362962962963,3282.3037037037043,1447.422222222222,1733.6296296296293,2930.1074074074068,1315.9851851851852,1588.2222222222222,2745.6888888888884,1523.455555555555,1287.737037037037
NP_009207.2,6759.5,16524.7,3603.6,6021.6,14643.2,3458.8,2685.5,6888.9,1859.6,5719.8,14771.8,3336.9,3970.4,9698.4,2563.4,4435.2,11347.0,2980.7,2867.2,7243.2,1926.8,2618.8,6718.2,1810.3,1827.3,4484.8,1384.6,4402.655555555557,2284.3703703703704,9177.214814814815,6418.774074074074,2902.448148148148,11701.985185185184,4364.751851851852,2169.7666666666664,8603.903703703703,5850.407407407408,2824.074074074075,11084.277777777777,3602.2851851851856,1912.1518518518517,7597.540740740741,4438.774074074073,2502.4740740740735,8981.303703703705,2865.52962962963,1623.3148148148146,6074.414814814815,3250.2592592592596,1843.5888888888892,6715.744444444445,6678.307407407407,12436.966666666667,3007.5296296296297
NP_003396.1,251.0,2709.2,2537.5,224.3,2338.1,2462.0,209.6,1115.1,1693.6,205.0,2581.8,2471.9,235.1,1921.8,2432.3,279.2,2170.5,2795.6,226.6,1750.8,2211.9,162.9,1585.5,1980.7,193.0,966.0,1555.7,297.25555555555553,2090.1222222222223,1533.474074074074,219.2740740740741,2102.459259259259,1979.3925925925928,240.95185185185184,2074.029629629629,1740.603703703703,197.37407407407412,2098.47037037037,2108.8555555555554,268.05555555555554,2197.0777777777785,1915.7037037037032,274.7518518518519,2339.051851851852,1750.6037037037038,286.36296296296297,1822.2814814814813,1309.0740740740741,191.29629629629628,2014.2148148148144,1611.3999999999999,238.9481481481482,2204.7,2136.32962962963
NP_004981.2,2642.6,3432.5,2801.2,2458.4,3357.1,2749.3,1870.3,3065.2,2650.3,2681.9,3766.3,2897.1,2945.1,4143.3,3951.0,2692.7,4856.4,3144.0,2352.7,3358.5,3174.9,2363.5,3697.6,3005.3,2072.0,3266.2,3099.1,2946.003703703703,3276.007407407407,4201.862962962963,2464.2518518518514,2335.307407407407,2800.1777777777775,3140.474074074074,3358.2000000000003,3671.166666666666,2612.0777777777776,2484.129629629629,2940.2814814814815,2946.003703703703,3101.551851851852,3545.3111111111116,2628.181481481481,2644.1185185185186,3764.2185185185176,3297.1703703703697,3615.944444444444,4544.803703703705,2837.474074074074,3039.3074074074075,3746.755555555555,2564.214814814815,2710.318518518518,2346.918518518519
NP_001027454.1,6276.9,6233.9,4993.6,6013.5,5949.1,4863.1,3326.0,2770.8,3299.8,5465.1,5913.0,4974.6,5631.2,5025.8,4513.8,6003.2,5965.3,4684.1,3954.8,3519.9,3778.1,3575.6,3550.7,3356.9,3074.1,2286.1,3088.3,5931.707407407408,4092.3925925925923,3737.8703703703704,6396.4740740740735,4110.318518518519,4840.477777777777,6482.7962962962965,3809.277777777778,4468.75925925926,5440.533333333334,4140.477777777778,4556.540740740741,5286.077777777778,3699.3925925925932,3764.2185185185176,6482.7962962962965,3933.651851851852,4569.633333333333,5246.492592592594,3608.607407407407,3113.103703703703,4438.774074074073,3349.603703703703,3585.703703703704,6303.6407407407405,4661.214814814815,4110.318518518519
NP_000217.2,3396.6,1930.2,4037.0,3072.7,1676.6,3682.0,1999.4,970.0,2111.2,3298.2,1858.1,3905.8,3026.0,1477.7,3413.9,5374.6,3648.5,8170.4,2390.2,1147.0,2508.7,2799.0,1587.2,3167.0,1510.3,623.7,1349.4,3186.7185185185185,2612.0777777777776,1326.188888888889,3147.0074074074078,3158.7777777777783,1459.9666666666667,3257.1888888888893,2898.0074074074073,1340.3777777777777,3290.274074074074,3312.0925925925926,1553.6962962962962,3013.181481481481,2492.4888888888886,1232.1518518518517,5745.437037037039,6506.240740740741,2873.7888888888883,2307.307407407407,1580.674074074074,824.8777777777776,3554.344444444446,3206.1925925925925,1613.4407407407411,3328.7518518518514,1596.3222222222228,3380.303703703703
NP_005316.1,2474.5,2929.7,5385.5,2707.1,3054.9,5655.3,1210.9,1372.9,1584.1,2486.3,2847.1,3456.8,1604.2,1942.5,2758.6,2467.2,2797.8,4137.9,937.3,1114.2,1454.1,681.6,748.4,1316.0,309.5,346.5,754.4,1889.7518518518516,1944.0407407407406,1850.0962962962963,2721.6666666666665,4809.259259259259,2559.7407407407413,1636.4037037037037,2359.6296296296296,1754.1185185185184,2403.5703703703707,2952.2259259259263,2328.844444444445,1107.148148148148,1475.8148148148148,1180.3000000000002,2452.62962962963,3469.2629629629632,2265.7444444444445,461.17037037037045,933.074074074074,447.2518518518519,750.5185185185185,1352.7481481481477,725.7444444444445,2367.32962962963,2363.233333333333,4393.251851851852
NP_002940.2,2858.6,2199.5,881.3,2979.9,2052.4,911.8,1641.6,1286.3,715.4,2628.0,1998.3,876.5,2185.5,1495.6,936.4,1986.8,1533.4,606.2,1972.8,1441.4,841.7,1877.3,1355.2,610.7,1605.1,1077.5,794.0,2530.1703703703706,896.6851851851852,1750.6037037037038,3059.3111111111098,839.8185185185183,1721.314814814815,2269.6185185185186,823.8592592592594,1359.0740740740741,2547.6962962962957,800.0629629629627,1653.0666666666666,2464.2518518518514,881.1666666666666,1575.733333333333,1909.1555555555558,564.3814814814816,1232.1518518518517,2492.4888888888886,968.8444444444444,1473.840740740741,2228.1629629629633,671.3925925925927,1381.7814814814815,2758.0851851851858,1779.3851851851853,782.0851851851852
NP_005490.1,987.0,5136.1,4800.7,864.5,4626.8,4720.8,792.5,2811.3,4011.5,836.0,5146.1,4687.4,1053.8,4903.4,6144.1,794.3,5126.4,5842.5,903.7,3774.4,4654.5,803.4,4193.7,4521.8,825.9,2732.6,4392.4,1168.8444444444447,5008.0888888888885,3833.0296296296297,839.8185185185183,3969.414814814815,3754.1555555555556,1015.7814814814811,5105.925925925925,4380.296296296296,776.8888888888889,3907.918518518519,4014.5222222222214,1067.5222222222221,4645.896296296296,4074.8777777777777,727.9999999999999,4809.259259259259,3942.796296296295,1235.777777777778,5088.451851851852,3792.5851851851853,899.6851851851852,4544.803703703705,4251.137037037039,904.2222222222225,4023.748148148148,3933.651851851852
NP_006537.3,4460.4,5903.4,2659.8,4043.7,5650.6,2767.6,2596.3,3556.3,1877.1,4243.0,6015.8,2732.8,4143.8,5876.4,2944.5,4335.6,6525.9,2243.6,2872.0,4244.1,2116.6,3297.4,4873.1,2587.6,2588.2,3375.7,1975.2,4209.662962962962,2315.4481481481484,4911.799999999999,4074.8777777777777,2359.6296296296296,4556.540740740741,4645.896296296296,2534.637037037037,5157.12962962963,4147.033333333333,2303.8888888888887,4620.470370370371,3615.944444444444,2111.248148148148,4527.94074074074,4320.081481481481,1915.7037037037032,5008.0888888888885,4310.2148148148135,2265.7444444444445,4661.214814814815,4101.392592592592,2653.481481481482,4852.481481481482,4393.251851851852,4527.94074074074,2228.1629629629633
sp,582.5,2277.2,5846.3,538.5,2049.1,5609.5,472.9,1296.6,4295.5,541.4,2143.1,5693.1,618.3,1938.3,6285.7,1572.2,9355.0,20543.5,1526.4,4593.4,12905.4,845.5,3325.3,9190.5,555.1,1373.8,5027.3,667.4888888888889,5295.281481481481,1758.4333333333334,505.488888888889,4729.237037037036,1714.5555555555557,588.2037037037037,5205.192592592592,1750.6037037037038,496.94814814814805,4707.292592592591,1754.1185185185184,1866.2037037037037,13039.214814814817,4840.477777777777,1535.6814814814813,16532.951851851853,7388.881481481481,805.8814814814813,5701.940740740742,1903.1444444444442,950.2666666666664,9097.14814814815,3319.5148148148155,523.6666666666666,1828.0814814814814,4800.381481481481
NP_055045.2,635.2,1611.1,1808.2,583.8,1589.6,1750.7,311.6,1124.3,1528.2,785.1,1667.4,1826.8,622.6,2122.7,2412.3,541.0,2105.9,2052.9,540.3,1589.3,1971.1,571.1,1725.9,1900.6,263.4,1221.2,1711.0,439.1592592592592,1896.407407407407,1553.6962962962962,556.0074074074074,1467.462962962963,1384.0555555555557,592.8555555555557,2052.7222222222226,1921.6037037037033,714.4,1531.4592592592594,1400.1444444444448,632.6407407407407,1969.3851851851853,1743.914814814815,514.6592592592593,1754.1185185185184,1704.6037037037036,391.07407407407413,1969.3851851851853,1681.8481481481479,628.2407407407408,1926.288888888888,1766.7851851851854,576.9074074074074,1361.8037037037038,1496.3037037037036
NP_001354324.1,986.5,1448.8,3186.5,969.5,1469.9,3224.1,460.2,675.2,1737.6,968.2,1369.5,2889.3,738.5,1028.7,2562.4,816.7,1258.5,2867.4,610.9,795.1,2083.1,671.4,930.4,2143.1,415.3,650.3,1887.7,647.5666666666667,2132.9592592592594,868.7925925925925,930.311111111111,2761.3185185185175,1277.874074074074,701.774074074074,2166.9518518518516,920.6074074074078,897.9777777777779,2472.6296296296296,1136.6407407407407,719.0666666666666,2090.1222222222223,846.9592592592593,749.425925925926,2390.9185185185183,1011.5222222222221,615.5037037037036,2153.4888888888886,874.8962962962962,742.2370370370371,2162.659259259259,938.0666666666666,900.9444444444445,1198.4666666666667,2688.225925925926
NP_003267.1,0.0,752.3,288.4,0.0,706.5,294.1,0.0,593.7,250.7,0.0,743.0,304.1,0.0,772.4,321.8,0.0,835.6,317.5,0.0,536.2,211.7,0.0,452.4,213.2,0.0,384.0,174.9,0.0,338.83703703703696,760.5,0.0,293.92962962962963,580.9777777777779,0.0,296.2,676.9074074074074,0.0,302.8814814814814,582.9037037037037,0.0,245.45925925925926,567.2740740740741,0.0,317.26666666666654,650.925925925926,0.0,244.11481481481482,497.69629629629634,0.0,262.57037037037037,430.60370370370373,0.0,598.948148148148,275.79999999999995
NP_001035809.1,3552.3,5350.9,11399.1,3178.7,5095.3,11723.6,2140.8,3751.4,8091.6,3554.3,5484.9,12159.1,3540.9,5657.5,13195.9,3692.1,6858.7,14998.4,2633.1,4391.4,10417.1,3096.7,4534.3,10852.2,2219.3,3439.6,8168.4,3454.744444444445,10209.6,5122.707407407406,3282.3037037037043,10022.781481481481,4170.696296296295,3833.0296296296297,11160.611111111111,5023.151851851852,3511.9333333333334,10367.64444444444,4327.237037037037,3358.2000000000003,10367.64444444444,4741.196296296295,3754.1555555555556,11898.42962962963,5316.403703703703,3545.3111111111116,9229.444444444445,4756.055555555557,3925.122222222222,11015.837037037036,4569.633333333333,3545.3111111111116,4170.696296296295,9435.633333333335
NP_001135887.1,3154.7,2624.9,4841.1,3050.4,2519.5,4403.2,2315.7,1897.6,3542.5,3136.2,2679.3,4472.4,3222.1,2778.4,4952.2,3172.5,2670.2,4093.5,2667.0,2362.6,4270.4,2732.5,2370.0,3856.0,2484.2,2235.1,3950.6,3713.6370370370373,4426.388888888889,2586.703703703704,3133.814814814815,3754.1555555555556,2115.2148148148153,3414.140740740741,4161.155555555555,2437.6629629629633,3095.2259259259267,3722.762962962963,2207.8999999999996,3394.977777777778,4232.681481481482,2510.4111111111115,3192.0925925925926,3407.1,2162.659259259259,4161.155555555555,4569.633333333333,3032.9925925925927,3429.688888888888,3860.411111111112,2390.9185185185183,3089.903703703703,2136.32962962963,3969.414814814815
NP_055706.1,8685.6,6306.4,5725.8,8136.9,6626.6,5972.7,3725.8,3274.8,3442.6,8213.0,5872.7,5800.2,5779.3,4857.2,4653.8,6647.6,6088.4,5667.4,5111.1,4053.3,4192.7,5099.4,4158.7,4235.0,3423.2,3192.6,3401.4,6482.7962962962965,4302.874074074074,4556.540740740741,8740.355555555556,5056.551851851852,5273.429629629628,6626.755555555556,3933.651851851852,4320.081481481481,8439.825925925927,4809.259259259259,4544.803703703705,6957.603703703702,4129.248148148147,4380.296296296296,7366.840740740739,4741.196296296295,4696.470370370372,5745.437037037039,3951.337037037037,4415.037037037036,6678.307407407407,4260.103703703704,4209.662962962962,8860.355555555554,4717.988888888888,4630.633333333333
NP_055635.3,4476.4,5839.2,4449.5,4295.0,5315.3,4329.2,3039.9,3385.8,3645.5,4443.7,5702.6,4463.1,4386.6,5290.0,5046.3,4669.3,5055.3,4298.4,3545.9,4329.3,4328.6,3907.6,5004.2,4214.5,3442.0,3577.5,4610.8,5295.281481481481,4569.633333333333,4686.233333333334,4339.599999999999,3671.166666666666,4339.599999999999,4953.385185185186,4224.114814814815,4729.237037037036,4393.251851851852,3678.3333333333326,4426.388888888889,4580.048148148148,4327.237037037037,4661.214814814815,4741.196296296295,3623.177777777778,3895.970370370371,5797.711111111112,5259.407407407408,4911.799999999999,4911.799999999999,4224.114814814815,4981.851851851852,4402.655555555557,4468.75925925926,3688.288888888888
NP_001143.2,9209.5,9861.2,8399.4,9014.9,9761.0,8236.9,5749.2,6502.3,5753.9,9516.9,10439.9,8557.3,9442.0,10331.3,9299.7,8197.4,11927.2,7859.4,8004.9,8409.7,7620.0,8387.3,9396.9,7642.4,6499.0,7072.5,6483.8,9648.607407407408,7012.133333333333,8812.366666666665,9648.607407407408,6814.37037037037,7747.551851851852,10629.074074074077,7629.770370370369,9097.14814814815,9613.322222222221,6864.822222222221,7983.577777777778,10692.192592592593,7165.425925925926,8677.47777777778,8405.751851851852,6283.100000000001,9354.951851851853,10750.25925925926,7441.133333333333,9564.87037037037,10750.25925925926,7304.507407407406,9384.155555555555,9229.444444444445,7597.540740740741,6650.9740740740735
NP_004270.2,648.4,436.3,1518.9,606.7,388.2,1510.7,510.0,369.5,1183.2,653.3,499.1,1513.9,677.8,457.0,1739.7,676.5,551.3,1594.5,545.4,419.0,1437.6,555.1,462.4,1512.5,503.7,402.4,1546.3,738.2555555555556,1441.9925925925927,458.5814814814816,579.7851851851851,1300.5111111111112,307.037037037037,652.1444444444444,1469.5925925925926,371.5555555555556,603.7666666666665,1290.037037037037,378.0555555555556,639.3518518518518,1455.2074074074078,430.60370370370373,625.8,1386.4259259259259,411.5962962962964,744.9037037037037,1804.7962962962965,518.1851851851851,608.9962962962964,1533.474074074074,444.0777777777778,591.7222222222222,325.6592592592592,1267.3296296296296
NP_004102.1,2446.7,4081.0,7555.5,2029.6,3667.1,7268.1,1321.1,2631.7,5226.2,2311.6,3852.1,7724.0,1954.4,3677.3,7375.7,2024.8,3841.6,8099.1,1681.3,3188.9,6474.1,1468.3,2895.4,6187.0,1109.1,2153.7,4895.4,2056.048148148148,6368.070370370369,3568.062962962963,2021.4296296296295,5887.188888888889,3032.9925925925927,2006.3,6074.414814814815,3261.703703703704,2225.314814814814,6118.425925925926,3019.2259259259263,2080.425925925926,6283.100000000001,3372.9666666666676,1966.722222222222,6482.7962962962965,3059.3111111111098,1685.1999999999998,5541.785185185186,2898.0074074074073,1750.6037037037038,5989.725925925926,2892.8518518518513,2346.918518518519,3206.1925925925925,5931.707407407408
NP_009035.3,2220.2,2749.4,13449.0,1931.4,2552.1,13135.9,1710.6,1936.8,7986.6,1909.8,2515.0,12251.7,2176.0,2679.9,12831.3,2009.1,2778.7,13056.3,1831.2,2350.2,9891.3,1450.8,1973.5,10354.2,1671.8,2013.9,8566.3,2644.1185185185186,9932.2037037037,2666.3222222222216,1909.1555555555558,11385.781481481483,2162.659259259259,2251.0444444444443,10823.492592592595,2346.918518518519,1788.2814814814813,10429.929629629629,2032.6185185185184,2265.7444444444445,9509.92962962963,2502.4740740740735,1947.8,10119.192592592593,2246.244444444444,2649.3370370370367,9703.362962962961,2700.3,1717.251851851852,10309.329629629632,1986.4148148148147,2118.177777777778,2235.744444444445,11312.0
NP_001278798.1,2183.7,1074.9,1901.0,1957.7,1053.1,1778.7,1380.3,664.4,1032.2,2053.6,1066.0,1888.5,2040.8,995.8,1575.8,1649.4,943.8,1741.6,1608.1,758.1,1334.5,1725.0,894.4,1611.1,1382.8,688.3,1043.4,2122.103703703704,1258.9296296296297,850.0777777777777,1926.288888888888,1503.4925925925927,884.0851851851852,2105.581481481481,1319.6888888888889,878.4259259259258,1944.0407407407406,1607.9296296296297,857.3592592592591,1966.722222222222,1334.4370370370375,811.5111111111112,1602.948148148148,1482.6888888888889,732.2333333333333,2132.9592592592594,1235.777777777778,936.5148148148147,2037.7925925925929,1653.0666666666666,893.4444444444445,2074.029629629629,881.1666666666666,1556.5185185185185
